month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
1,3,17,30,1.9,93.08,0,0.101,178.78,20.1,258.6,31.69,284.13,25.36,50.56,262,0
1,3,17,45,1.91,88.5,0,0.1,167.5,20.26,259.13,31.6,285.27,25.12,50.59,263,0
1,3,18,0,1.91,46.26,0,0.101,177.5,20.01,256.87,31.77,287.67,26.04,50.51,264,0
1,3,18,15,1.91,53.48,0,0.101,184.95,20.14,261.33,31.4,286.13,24.59,50.41,265,0
1,3,18,30,1.91,76.87,0,0.1,176.7,20.1,259.47,31.53,285.53,26.09,50.56,266,0
1,3,18,45,1.92,69.16,0,0.1,180.38,20.24,258.13,31.63,286.73,25.67,50.63,267,0
1,3,19,0,1.92,26.09,1.06,0.1,175.64,20.24,260.2,31.42,288.8,25.76,50.41,268,0
1,3,19,15,1.92,24.11,0,0.1,192.7,20,255.13,31.59,285.33,25.64,50.75,269,0
1,3,19,30,1.91,5.31,12.73,0.101,200.96,20.14,256.33,31.41,288.87,25.98,50.44,270,0
1,3,19,45,1.91,8.49,6.17,0.1,197.07,20.26,258.87,31.58,286.27,26.75,50.54,271,0
1,3,20,0,1.9,5.01,11.09,0.1,192.89,20.24,262.93,31.25,289.87,24.61,50.41,272,0
1,3,20,15,1.89,5.93,9.65,0.101,195.26,19.8,258.07,31.67,287.4,25.24,50.65,273,0
1,3,20,30,1.89,18.18,5.45,0.1,203.78,19.92,257.87,31.65,288.07,25.91,50.66,274,0
1,3,20,45,1.88,48.73,0,0.1,176.62,20.2,258.73,31.59,286.07,25.32,50.63,275,0
1,3,21,0,1.88,87.57,0,0.101,181.37,20.05,254.67,31.87,288.73,5.46,50.66,276,0
1,3,21,15,1.89,105.27,0,0.103,185.74,20.29,258,31.64,286.47,0.27,50.69,277,0
1,3,21,30,1.9,218.07,0,0.101,174.27,20.1,256.6,31.8,350.47,0.06,51.52,278,0
1,3,21,45,1.92,262.25,0,0.101,168.37,20.14,253.47,32.02,352.47,0,51.7,279,0
1,3,22,0,1.94,250.73,0,0.101,186.89,20.38,254,31.98,352.8,0,51.8,280,0
1,3,22,15,1.97,265.77,0,0.101,188.06,20.19,252.93,32.05,350.47,0,51.82,281,0
1,3,22,30,2,308.73,0,0.1,185.04,20.23,247.73,32.48,347.53,0,52.1,282,0
1,3,22,45,2.04,327.05,0,0.1,176.78,20.2,246.6,32.54,345.2,0,52.3,283,0
1,3,23,0,2.07,342.35,0,0.1,147.95,16.71,243.8,32.81,371.27,0,52.76,284,0
1,3,23,15,2.12,352.29,0,0.1,150.5,16.55,241.87,32.95,369.93,0,52.85,285,0
1,3,23,30,2.16,403.13,0,0.101,150.21,16.74,240.27,33.08,368.8,0,53.01,286,0
1,3,23,45,2.21,415.52,0,0.101,137.99,16.62,239.73,33.2,365.4,0,53.23,287,0
1,4,0,0,2.27,431.83,0,0.101,169.53,16.34,233.73,33.6,363.8,0,53.51,288,0
1,4,0,15,2.32,401.05,0,0.1,176.58,16.69,233.2,33.67,365.07,0,53.43,289,0
1,4,0,30,2.37,417.54,0,0.101,169.37,16.7,237.73,33.35,364.33,0,53.33,290,0
1,4,0,45,2.43,433.3,0,0.101,164.05,16.5,232.8,33.74,361.33,0,53.6,291,0
1,4,1,0,2.49,396.51,0,0.1,168.96,16.56,235.8,33.54,366.33,0,53.27,292,0
1,4,1,15,2.53,408.91,0,0.1,156.85,16.6,234.2,33.63,361.73,0,53.46,293,0
1,4,1,30,2.59,409.86,0,0.1,155.6,16.59,233.6,33.69,365.6,0,53.35,294,0
1,4,1,45,2.64,409.33,0,0.1,162.79,16.51,233.13,33.93,361.6,0,53.61,295,0
1,4,2,0,2.69,442.61,0,0.1,147.76,16.53,243.47,33.92,358.53,0,53.77,296,0
1,4,2,15,2.75,469.95,0,0.101,147.62,16.59,240.73,34.13,357.2,0,54.05,297,0
1,4,2,30,2.81,430.85,0,0.1,152.41,16.7,242.2,34.02,358.27,0,53.93,298,0
1,4,2,45,2.86,410.63,0,0.1,131.19,16.67,239.13,34.21,359,0,53.96,299,0
1,4,3,0,2.92,400.61,0,0.1,128.16,16.57,242.6,33.93,362.33,0,53.73,300,0
1,4,3,15,2.97,436.79,0,0.1,115.53,16.93,241.33,34.07,359.4,0,53.97,301,0
1,4,3,30,3.03,432.76,0,0.101,115,17.11,236.07,34.46,359.87,0,54.21,302,0
1,4,3,45,3.08,434.31,0,0.102,124.07,16.8,237.27,34.37,356.8,0,54.22,303,0
1,4,4,0,3.14,463.05,0,0.101,129.13,16.95,258.13,34.59,356,0,54.33,304,0
1,4,4,15,3.2,411.51,0,0.102,130.52,16.65,261.2,34.35,362,0,53.88,305,0
1,4,4,30,3.24,427.48,0,0.1,127.99,16.68,257.87,34.58,358.27,0,54.31,306,0
1,4,4,45,3.3,448.54,0,0.1,127.16,16.67,258.4,34.54,357.13,0,54.25,307,0
1,4,5,0,3.36,409.91,0,0.1,135.22,16.64,262.6,34.22,357.53,0,54.16,308,0
1,4,5,15,3.41,387.54,0,0.101,120.88,16.7,262.07,34.22,360,0,54.09,309,0
1,4,5,30,3.45,345.39,0,0.1,128.61,16.63,262.93,34.17,361.93,0,53.97,310,0
1,4,5,45,3.5,313.17,0,0.1,147.96,17.85,265.13,33.97,363.4,0,53.81,311,0
1,4,6,0,3.54,282.25,0,0.1,167.32,20.01,265.27,33.9,363.4,0,53.66,312,0
1,4,6,15,3.57,239.83,0,0.101,164.43,20.62,259,33.51,367.33,0,53.31,313,0
1,4,6,30,3.6,103.29,1.16,0.1,173.21,20.72,261.4,33.24,258.2,18.5,51.91,314,0
1,4,6,45,3.61,18.23,2.13,0.1,178.59,20.71,260.67,33.27,180.93,24.91,51.76,315,0
1,4,7,0,3.61,0,71.6,0.101,186.89,20.6,263.33,33.07,152.53,25.98,51.31,316,0
1,4,7,15,3.6,0,162.87,0.1,196,20.88,257.33,32.71,130.67,26.1,50.74,317,0
1,4,7,30,3.57,0,246.29,0.1,209.27,20.76,236.47,32.45,84.33,25,50.4,318,0
1,4,7,45,3.53,0,266.78,0.1,223.85,20.08,240.07,32.18,87.8,26.71,50.16,319,0
1,4,8,0,3.49,0,289.59,0.1,229.35,19.65,243.2,31.78,87.87,25.74,49.84,320,0
1,4,8,15,3.45,0,346.88,0.101,222.01,20.6,235.73,31.66,63.33,25.57,49.41,321,0
1,4,8,30,3.39,0,355.9,0.1,238.22,18.86,239.33,31.42,64.67,25.08,49.35,322,0
1,4,8,45,3.34,0,370.41,0.1,244.53,18.77,239.2,31.37,30.13,26.05,49.31,323,0
1,4,9,0,3.28,0,393.23,0.1,264.86,21.21,247.07,30.84,3.2,26.43,48.86,324,0
1,4,9,15,3.22,0,393.67,0.1,287.36,21.2,249.27,30.69,3.33,25.52,48.68,325,0
1,4,9,30,3.15,0,390.81,0.1,290.95,21.32,248.47,30.72,3.8,24.88,48.55,326,0
1,4,9,45,3.09,0,391.21,0.1,291.79,21.25,249.47,30.65,3.4,24.94,48.49,327,0
1,4,10,0,3.03,0,383.9,0.101,283.5,21.18,251,30.53,4.2,26.45,48.35,328,0
1,4,10,15,2.97,0,359.07,0.101,234.76,21.65,251.6,30.5,3.47,24.96,47.96,329,0
1,4,10,30,2.91,0,380.16,0.103,247.35,21.71,237.47,30.62,3.67,24.64,48.24,330,0
1,4,10,45,2.85,0,352.61,0.101,237.04,21.5,237.4,30.63,3.53,25.93,48.43,331,0
1,4,11,0,2.79,0,363.66,0.101,226.02,20.78,239.53,30.49,3.33,24.51,48.08,332,0
1,4,11,15,2.73,0,344.86,0.103,220.32,21.16,235.8,30.76,3.53,26.19,48.54,333,0
1,4,11,30,2.68,0,362.31,0.103,219.22,21.24,239.33,30.51,3.4,25.5,48.38,334,0
1,4,11,45,2.62,0,309.46,0.105,212.98,21.28,233.33,30.94,26.8,24.74,49.16,335,0
1,4,12,0,2.57,0,194,0.101,219.62,21.23,228.6,31.31,109.53,25.79,49.65,336,0
1,4,12,15,2.53,0,223.47,0.105,207.7,20.99,244.8,31.31,101.8,25.29,49.41,337,0
1,4,12,30,2.5,0,193.76,0.105,225.15,20.63,248.67,31.24,97.2,24.64,49.59,338,0
1,4,12,45,2.45,0,220.92,0.101,233.24,20.5,246.13,31.37,98.07,25.89,49.46,339,0
1,4,13,0,2.42,0,227.39,0.103,213.09,21.11,253.47,31.17,95.8,25.2,49.38,340,0
1,4,13,15,2.38,0,224.18,0.102,204.5,21.16,259.93,31.24,97.13,25.46,49.42,341,0
1,4,13,30,2.34,0,228.63,0.104,205.93,21.22,262.93,30.99,92.93,26.38,49.29,342,0
1,4,13,45,2.31,0,207.47,0.105,182.5,20.9,259.67,31.18,100.93,25.03,49.33,343,0
1,4,14,0,2.27,0,206.55,0.108,191.51,20.87,259.6,31.18,103.73,26.45,49.27,344,0
1,4,14,15,2.24,0,165.37,0.105,184.6,20.84,258.2,31.27,103.07,25.78,49.39,345,0
1,4,14,30,2.2,0,175.49,0.101,184.9,20.82,256.8,31.39,102,25.3,49.54,346,0
1,4,14,45,2.17,0,162.61,0.103,186.71,20.68,257.87,31.3,101.67,25.09,49.41,347,0
1,4,15,0,2.15,0,147.95,0.101,186.69,20.86,256.47,31.39,102,26.49,49.39,348,0
1,4,15,15,2.12,0,106.87,0.103,202.82,20.82,256.8,31.35,102.8,24.76,49.55,349,0
1,4,15,30,2.1,0,131.5,0.103,195.18,20.69,258.27,31.23,103.13,25.23,49.36,350,0
1,4,15,45,2.07,0,79.19,0.101,174.55,19.69,253.47,31.59,102.07,24.92,49.46,351,0
1,4,16,0,2.05,0,50.92,0.103,163.52,19.73,254.67,31.5,101.6,25.57,49.67,352,0
1,4,16,15,2.03,0,43.45,0.105,174.77,19.89,258.33,31.2,102.2,25.05,49.38,353,0
1,4,16,30,2.01,0,67.29,0.104,164.85,19.67,253.8,31.58,104.33,25.67,49.47,354,0
1,4,16,45,1.99,0,68.34,0.105,162.23,19.89,255.07,31.48,101.27,25.11,49.67,355,0
1,4,17,0,1.97,0,103.55,0.106,177.49,19.77,258.2,31.21,103.33,27.1,49.32,356,0
1,4,17,15,1.95,0,71.76,0.108,174.45,19.78,256.87,31.35,137.13,25.12,49.48,357,0
1,4,17,30,1.93,0,58.21,0.107,182.18,19.8,257.73,31.27,141.93,24.99,49.5,358,0
1,4,17,45,1.92,0,59.07,0.106,172.76,19.74,253.13,31.61,141.73,26.2,49.91,359,0
1,4,18,0,1.9,0,74.95,0.109,170.63,19.8,258.2,31.18,143.67,24.77,49.39,360,0
1,4,18,15,1.88,0,83.13,0.109,182.89,19.67,258.87,31.12,141.67,25.75,49.54,361,0
1,4,18,30,1.86,0,91.58,0.109,163.79,19.88,253.27,31.55,140.87,24.99,49.82,362,0
1,4,18,45,1.85,0,121.76,0.108,172.66,19.73,258.8,31.1,152.27,25.16,49.37,363,0
1,4,19,0,1.82,22.91,48.47,0.109,187.37,19.66,258.4,31.17,230.4,26.83,50.05,364,0
1,4,19,15,1.81,22.68,6.85,0.109,190.17,19.61,255.13,31.4,283.4,25.45,50.44,365,0
1,4,19,30,1.81,1.83,19.43,0.108,172.03,19.72,256,31.31,282.93,25.81,50.46,366,0
1,4,19,45,1.8,17.55,1.11,0.109,182.15,19.64,255.27,31.33,283.33,25.56,50.48,367,0
1,4,20,0,1.79,3.76,16.55,0.107,188.84,19.57,258.27,31.13,282.6,26.18,50.48,368,0
1,4,20,15,1.78,0.43,25.5,0.107,191.73,19.62,258.67,31.1,285.33,25.64,50.26,369,0
1,4,20,30,1.77,8.87,2.01,0.108,178.97,19.79,251.93,31.58,283.8,25.06,50.54,370,0
1,4,20,45,1.77,28.07,2.17,0.105,182.72,19.74,254.6,31.39,284.53,24.7,50.45,371,0
1,4,21,0,1.76,50.93,0,0.107,183.4,19.69,255.87,31.31,282.87,5.8,50.49,372,0
1,4,21,15,1.76,48.95,0.05,0.104,179.73,19.58,236.6,31.3,284.27,0.28,50.5,373,0
1,4,21,30,1.77,102.81,0,0.106,184.69,19.67,215.93,31.56,282.53,0.07,50.69,374,0
1,4,21,45,1.77,125.92,0,0.103,165.42,19.61,217.4,31.45,285.27,0,50.5,375,0
1,4,22,0,1.79,218.37,0,0.107,180.65,20.51,214.93,31.67,367.33,0,51.73,376,0
1,4,22,15,1.81,279.42,0,0.108,176.96,20.44,211,31.99,377.33,0,52.05,377,0
1,4,22,30,1.84,268.67,0,0.105,176.4,20.64,228.87,32.11,377.33,0,52.18,378,0
1,4,22,45,1.87,304.83,0,0.105,179.37,20.44,243.67,32.41,375.87,0,52.34,379,0
1,4,23,0,1.91,311.75,0,0.103,150.37,17.19,241.87,32.53,375.67,0,52.46,380,0
1,4,23,15,1.95,339.27,0,0.104,150.98,16.78,239.73,32.67,375,0,52.46,381,0
1,4,23,30,1.99,398.35,0,0.105,143.39,16.62,240.33,32.66,372,0,52.72,382,0
1,4,23,45,2.04,382.43,0,0.104,154.63,16.48,236.47,32.9,372.73,0,52.79,383,0
1,5,0,0,2.08,373.01,0,0.103,201.25,15.9,236.4,32.97,371.4,0,52.93,384,0
1,5,0,15,2.13,363.43,0,0.103,244.45,14.33,237.07,32.88,370.93,0,52.72,385,0
1,5,0,30,2.18,388.89,0,0.101,235.1,15.71,237.2,32.95,366.93,0,52.94,386,0
1,5,0,45,2.23,396.75,0,0.103,211.69,16.58,234.33,33.12,367.53,0,53.07,387,0
1,5,1,0,2.28,343.08,0,0.103,211.32,16.24,234.67,33.07,369.53,0,52.82,388,0
1,5,1,15,2.32,362.45,0,0.103,209.15,16.56,237.2,32.94,368,0,52.87,389,0
1,5,1,30,2.37,360.78,0,0.102,210.16,16.63,236.2,33.05,366.73,0,53.02,390,0
1,5,1,45,2.41,374.17,0,0.102,208.67,16.58,231.73,33.31,364.53,0,53.18,391,0
1,5,2,0,2.46,366.46,0,0.103,203.93,16.59,233.73,33.22,365.4,0,53.1,392,0
1,5,2,15,2.51,355.51,0,0.101,190.34,16.34,234.73,33.16,367.87,0,52.96,393,0
1,5,2,30,2.55,320.99,0,0.1,193.07,16.5,236.93,33.01,369.47,0,52.71,394,0
1,5,2,45,2.59,382.48,0,0.103,178.74,16.6,231.07,33.47,363.07,0,53.4,395,0
1,5,3,0,2.64,339.7,0,0.104,159.33,15.59,234,33.22,350.87,0,52.48,396,0
1,5,3,15,2.68,332.28,0,0.103,170.46,15.7,235.07,33.18,366.27,0,52.93,397,0
1,5,3,30,2.73,350.95,0,0.103,153.3,16.56,230.8,33.46,364.6,0,53.26,398,0
1,5,3,45,2.77,370.56,0,0.101,150.47,16.66,230.13,33.59,363.87,0,53.41,399,0
1,5,4,0,2.82,347.99,0,0.103,158.8,16.44,230.67,33.54,366,0,53.39,400,0
1,5,4,15,2.86,360.31,0,0.102,168.18,16.58,249.67,33.86,360,0,53.7,401,0
1,5,4,30,2.91,370.66,0,0.104,170.16,16.59,251.8,33.83,363.87,0,53.59,402,0
1,5,4,45,2.96,387.21,0,0.1,178.8,16.56,244.2,34.39,360.27,0,53.99,403,0
1,5,5,0,3,362.8,0,0.105,172.1,16.5,252.67,33.78,362.27,0,53.62,404,0
1,5,5,15,3.05,351.17,0,0.103,169.51,16.52,252.73,33.76,364.2,0,53.6,405,0
1,5,5,30,3.09,304.49,0,0.101,170.36,16.54,256.13,33.48,362.8,0,53.43,406,0
1,5,5,45,3.13,289.16,0,0.101,167.25,18.09,251.8,33.52,363.2,0,53.47,407,0
1,5,6,0,3.17,271.75,0,0.101,186.51,19.54,252.67,33.4,365.33,0,53.26,408,0
1,5,6,15,3.2,235.82,0,0.103,198.16,20.64,261.13,33.6,358.07,0,53.22,409,0
1,5,6,30,3.23,180.8,0,0.102,177.69,20.75,271.87,33.29,347.27,20.26,52.93,410,0
1,5,6,45,3.25,152.95,0,0.101,204.26,20.37,280.47,32.84,341.13,25.51,52.48,411,0
1,5,7,0,3.27,32.22,33.04,0.101,208.98,20.69,280.13,32.82,224.73,25.1,51.36,412,0
1,5,7,15,3.27,0,72.23,0.101,203.3,21.11,280.27,32.85,186.33,26.14,51.23,413,0
1,5,7,30,3.25,0,192.43,0.101,219.59,21.05,287.8,32.14,102.47,25.83,49.99,414,0
1,5,7,45,3.22,0,286.75,0.1,230.73,20.07,278.8,31.68,2.53,25.19,49.48,415,0
1,5,8,0,3.17,0,358.32,0.1,224.28,20.6,260.53,31.15,2.4,27.23,48.74,416,0
1,5,8,15,3.11,0,368.49,0.1,228.85,20.78,265.13,30.67,2.4,25.24,48.6,417,0
1,5,8,30,3.06,0,374.27,0.101,250.61,21.21,253.07,30.9,2.2,25.06,48.59,418,0
1,5,8,45,3,0,393.67,0.1,243.16,21.16,244.2,30.7,2.47,25.3,48.65,419,0
1,5,9,0,2.93,0,393.86,0.1,270.62,21.27,247.07,30.41,2.2,25.88,48.19,420,0
1,5,9,15,2.87,0,377.5,0.1,243.08,21.17,247.67,30.39,2.6,25.55,48.31,421,0
1,5,9,30,2.81,0,386.99,0.1,247.96,21.14,245.13,30.58,2.4,26.43,48.31,422,0
1,5,9,45,2.75,0,400.8,0.1,249.36,21.24,249.4,30.25,2.73,25,47.9,423,0
1,5,10,0,2.68,0,381.57,0.101,231.87,21.12,247.2,30.41,2.33,25.72,48.27,424,0
1,5,10,15,2.62,0,342.35,0.1,246.77,21.12,245.93,30.52,2.67,25.76,48.38,425,0
1,5,10,30,2.56,0,348.67,0.101,248.56,21.62,245.33,30.56,2.53,25.74,48.43,426,0
1,5,10,45,2.51,0,334.97,0.101,248.98,21.66,247.53,30.41,3.33,25.25,48.23,427,0
1,5,11,0,2.45,0,325.75,0.1,245.64,21.65,246.87,30.48,3.47,25.43,48.44,428,0
1,5,11,15,2.4,0,330.31,0.101,261.96,21.72,246.4,30.46,3.6,24.99,48.34,429,0
1,5,11,30,2.35,0,323.63,0.1,243.85,21.76,246.53,30.47,3.33,26.01,48.4,430,0
1,5,11,45,2.3,0,328.66,0.1,222.3,21.71,246.33,30.48,3.53,25.99,48.37,431,0
1,5,12,0,2.25,0,192.23,0.101,224.43,21.24,234.27,31.37,122.4,24.76,49.44,432,0
1,5,12,15,2.21,0,173.47,0.1,223.05,21.2,236,31.28,132.8,25.07,49.52,433,0
1,5,12,30,2.17,0,178.86,0.1,222.12,21.17,248.73,31.22,111.2,25.59,49.46,434,0
1,5,12,45,2.14,0,206.11,0.1,220.2,21.21,252,30.97,102.13,26.91,49.09,435,0
1,5,13,0,2.11,0,225.65,0.1,214.49,21.29,253.53,30.84,121.8,24.63,48.84,436,0
1,5,13,15,2.07,0,202.12,0.1,217.88,21.24,250.13,31.08,131.47,25.43,49.25,437,0
1,5,13,30,2.04,0,193.93,0.101,210.58,20.93,252.27,30.93,131.33,25.93,49.13,438,0
1,5,13,45,2,0,166.61,0.1,195.96,21.26,249.27,31.14,137.53,25.16,49.5,439,0
1,5,14,0,1.97,0,166.19,0.1,181.08,20.73,250.33,31.05,139.67,24.9,49.29,440,0
1,5,14,15,1.94,0,148.49,0.1,208.86,20.88,251.87,30.96,138.2,24.81,49.21,441,0
1,5,14,30,1.91,0,134.21,0.1,201.73,20.59,251.27,30.98,139.4,25.64,49.17,442,0
1,5,14,45,1.88,0,106.44,0.1,194.03,20.81,251.2,31,138.4,26.48,49.19,443,0
1,5,15,0,1.86,0,118.82,0.1,189.35,20.63,247.53,31.27,101.4,25.01,49.45,444,0
1,5,15,15,1.83,0,127.61,0.1,175.77,20.64,246.87,31.25,101.93,26.07,49.2,445,0
1,5,15,30,1.8,0,128.48,0.1,175.71,20.76,251.8,30.92,99.73,26.01,49.12,446,0
1,5,15,45,1.78,0,133.1,0.1,190.26,20.52,249.8,31.1,98.27,25.86,49.41,447,0
1,5,16,0,1.75,0,135.03,0.1,184.23,20.59,251.93,30.93,100.6,25.38,49.13,448,0
1,5,16,15,1.73,0,148.23,0.1,188.37,20.8,248.87,31.12,102,25.36,49.12,449,0
1,5,16,30,1.7,0,129.05,0.1,186.19,20.62,251.8,30.92,137.33,25.28,49.29,450,0
1,5,16,45,1.67,0,95.81,0.1,179.18,20.69,249.6,31.08,204.27,26.52,49.61,451,0
1,5,17,0,1.65,9.74,15.66,0.1,169.4,20.69,248.33,31.17,280.47,25.7,50.28,452,0
1,5,17,15,1.65,31.55,0.73,0.1,172.46,20.6,246.07,31.39,298.67,25.97,50.59,453,0
1,5,17,30,1.65,71.23,0,0.1,166.33,20.73,247.8,31.22,300.6,25.55,50.41,454,0
1,5,17,45,1.65,96.59,0,0.1,153.63,20.62,249.27,31.12,300.27,24.95,50.47,455,0
1,5,18,0,1.65,77.61,0,0.1,171.52,20.75,249.4,31.12,299.73,25.8,50.53,456,0
1,5,18,15,1.66,96.87,0,0.1,160.5,20.75,245.67,31.41,299.53,25.33,50.58,457,0
1,5,18,30,1.67,122.77,0,0.1,146.65,20.74,249.53,31.1,304.2,25.81,50.4,458,0
1,5,18,45,1.68,157.99,0,0.1,151.6,20.67,243.8,31.53,314.93,25.64,50.88,459,0
1,5,19,0,1.7,114.2,0,0.1,172.84,20.76,246.67,31.33,317.33,25.04,50.7,460,0
1,5,19,15,1.7,116.42,0,0.1,174.74,20.59,243.67,31.27,317.67,25.07,50.59,461,0
1,5,19,30,1.72,121.67,0,0.1,187.94,20.71,241.73,31.33,314.53,25.72,50.67,462,0
1,5,19,45,1.73,123.21,0,0.1,165.96,20.69,244.87,31.46,316,25.42,50.8,463,0
1,5,20,0,1.74,95.3,0,0.1,174.17,20.68,244.8,31.44,316.73,25.03,50.62,464,0
1,5,20,15,1.74,106.77,0,0.1,171.3,20.69,242.6,31.67,314.8,26.12,50.88,465,0
1,5,20,30,1.75,69.59,0,0.1,161.36,20.81,247,31.34,316.07,25.95,50.71,466,0
1,5,20,45,1.76,102.23,0,0.101,159.14,20.81,246,31.41,315.13,25.89,50.71,467,0
1,5,21,0,1.77,167.72,0,0.1,169.69,20.7,246.4,31.39,314.13,5.85,50.89,468,0
1,5,21,15,1.78,150.61,0,0.101,194.85,20.5,243.87,31.62,317.2,0.28,50.99,469,0
1,5,21,30,1.8,188.51,0,0.1,165.5,20.86,241.6,31.77,325.27,0.07,51.16,470,0
1,5,21,45,1.82,223.15,0,0.1,159.21,20.67,238.8,32.02,336.47,0,51.66,471,0
1,5,22,0,1.85,241.51,0,0.1,169.59,20.69,238.33,32.01,358.53,0,51.71,472,0
1,5,22,15,1.88,251.06,0,0.1,170.03,20.54,240.2,31.86,381.4,0,51.81,473,0
1,5,22,30,1.9,279.53,0,0.1,170.68,20.19,237.93,32.09,377.93,0,52.27,474,0
1,5,22,45,1.94,284.57,0,0.101,158.35,20.17,236.53,32.18,376.8,0,52.22,475,0
1,5,23,0,1.97,300.16,0,0.1,147.49,16.69,234.73,32.34,375.53,0,52.43,476,0
1,5,23,15,2.01,315.97,0,0.1,130.46,16.46,231.53,32.57,375.47,0,52.59,477,0
1,5,23,30,2.05,339.3,0,0.1,140.28,16.59,230.4,32.63,373.27,0,52.78,478,0
1,5,23,45,2.09,352.61,0,0.1,139.31,16.44,231.53,32.58,373.33,0,52.59,479,0
1,6,0,0,2.13,398.88,0,0.1,140.24,16.61,226.2,32.97,371.87,0,52.99,480,0
1,6,0,15,2.18,358.18,0,0.101,152.23,16.56,225.13,33.01,372.33,0,52.97,481,0
1,6,0,30,2.23,405.68,0,0.1,164.98,16.56,247.73,33.23,367.87,0,53.2,482,0
1,6,0,45,2.28,418.16,0,0.1,145.72,16.63,244.8,33.46,367,0,53.41,483,0
1,6,1,0,2.34,451.2,0,0.1,142.34,16.55,243,33.57,366.6,0,53.45,484,0
1,6,1,15,2.39,407.89,0,0.1,139.44,16.57,245.13,33.44,368.4,0,53.29,485,0
1,6,1,30,2.44,423.37,0,0.101,132.63,16.52,239.73,33.85,365.07,0,53.65,486,0
1,6,1,45,2.5,431.81,0,0.1,133.25,16.56,239.07,33.88,364.4,0,53.77,487,0
1,6,2,0,2.56,461.07,0,0.1,127.49,16.72,239.53,33.91,363.2,0,53.75,488,0
1,6,2,15,2.61,410.69,0,0.1,124.14,16.59,241.6,33.7,367.4,0,53.48,489,0
1,6,2,30,2.67,405.29,0,0.1,127.93,16.63,239.93,33.83,365.73,0,53.63,490,0
1,6,2,45,2.72,438.37,0,0.1,126.05,16.54,237.67,34.02,362.27,0,53.91,491,0
1,6,3,0,2.78,465.51,0,0.1,127.24,16.59,235.93,34.15,360.87,0,54.01,492,0
1,6,3,15,2.83,441.5,0,0.1,125.29,16.7,234.13,34.25,359.53,0,54.1,493,0
1,6,3,30,2.89,423.89,0,0.1,117.13,17.08,238.4,33.95,361.67,0,54.03,494,0
1,6,3,45,2.95,436.24,0,0.1,121.91,16.59,233.73,34.36,359.87,0,54.2,495,0
1,6,4,0,3,431.92,0,0.1,124.02,16.58,244.47,34.3,360.33,0,54.03,496,0
1,6,4,15,3.06,466.01,0,0.1,134.06,16.45,242.47,34.58,357.8,0,54.38,497,0
1,6,4,30,3.11,394.37,0,0.1,135.5,16.62,248.87,34.06,280.27,0,53.35,498,0
1,6,4,45,3.17,301.17,0,0.1,120.97,16.88,254.13,33.65,194.2,0,52.27,499,0
1,6,5,0,3.2,356.25,0,0.1,132.69,16.63,254.6,33.61,194.6,0,52.08,500,0
1,6,5,15,3.24,338.41,0,0.1,129.09,16.59,253.2,33.71,193.87,0,52.24,501,0
1,6,5,30,3.27,307.33,0,0.1,146.73,16.56,259,33.25,195.47,0,51.88,502,0
1,6,5,45,3.3,276.57,0,0.1,149.89,19.61,255.27,33.5,196.87,0,51.75,503,0
1,6,6,0,3.33,276.19,0,0.1,130.54,19.75,253.33,33.67,193.87,0,52.12,504,0
1,6,6,15,3.36,241.56,0,0.1,129.77,19.73,255.93,33.48,170.87,0,51.64,505,0
1,6,6,30,3.38,181.37,0,0.1,125.9,19.59,262.13,32.98,136.93,18.71,51.27,506,0
1,6,6,45,3.4,179.59,0,0.1,127.93,20.48,255.33,33.5,150.93,26.28,51.73,507,0
1,6,7,0,3.41,153.31,0,0.1,127.54,20.63,262.47,32.93,152.07,24.94,51.25,508,0
1,6,7,15,3.42,100.94,0,0.1,140.92,20.67,255.87,33.4,152.07,25.43,51.44,509,0
1,6,7,30,3.42,12.15,4.24,0.1,162.15,20.55,261.07,32.98,112.13,25.44,51.1,510,0
1,6,7,45,3.41,0,70.17,0.1,170.48,21.1,254.4,32.69,91,25.71,50.81,511,0
1,6,8,0,3.39,0,110.54,0.1,190.53,20.98,254.07,32.67,94.27,24.84,50.66,512,0
1,6,8,15,3.37,0,163.61,0.1,210.36,21.03,258.47,32.33,86.87,26.89,50.29,513,0
1,6,8,30,3.33,0,244.07,0.1,217.65,20.97,266.53,31.65,47.73,26.06,49.41,514,0
1,6,8,45,3.29,0,323.65,0.1,236.91,20.86,266.6,31.14,3.53,26.13,49,515,0
1,6,9,0,3.23,0,338.3,0.1,238.6,21.46,260.87,31.2,3.4,25.24,48.99,516,0
1,6,9,15,3.17,0,376.67,0.1,246.95,21.62,266.6,30.59,3.27,24.97,48.52,517,0
1,6,9,30,3.1,0,409.91,0.1,242.25,21.66,260.67,30.2,3.67,25.34,48.06,518,0
1,6,9,45,3.02,0,460.59,0.1,254.18,21.63,246.93,29.61,3.33,26.31,47.44,519,0
1,6,10,0,2.94,0,479.45,0.1,249.91,21.72,247.87,29.37,3.53,26.13,47.41,520,0
1,6,10,15,2.87,0,457.95,0.1,249.16,21.69,246.4,29.48,3.6,23.96,47.28,521,0
1,6,10,30,2.79,0,478.16,0.1,258.95,21.7,246.67,29.47,3.8,26.11,47.38,522,0
1,6,10,45,2.71,0,463.64,0.1,267.13,21.67,247,29.48,3.33,24.66,47.33,523,0
